"product_id","laboratory_id","type","created_at","updated_at"
1752,2000058,COMERCIALIZER,2025-01-21 17:54:43.218 +0100,2025-01-21 17:54:43.218 +0100
3264,2000058,COMERCIALIZER,2025-01-21 17:54:43.418 +0100,2025-01-21 17:54:43.418 +0100
3266,2000058,COMERCIALIZER,2025-01-21 17:54:43.700 +0100,2025-01-21 17:54:43.700 +0100
3268,2000058,COMERCIALIZER,2025-01-21 17:54:44.685 +0100,2025-01-21 17:54:44.685 +0100
9527,2000058,COMERCIALIZER,2025-01-21 17:54:44.965 +0100,2025-01-21 17:54:44.965 +0100
9528,2000058,COMERCIALIZER,2025-01-21 17:54:45.227 +0100,2025-01-21 17:54:45.227 +0100
3271,2000058,COMERCIALIZER,2025-01-21 17:54:45.710 +0100,2025-01-21 17:54:45.710 +0100
3273,2000058,COMERCIALIZER,2025-01-21 17:54:45.855 +0100,2025-01-21 17:54:45.855 +0100
3275,2000058,COMERCIALIZER,2025-01-21 17:54:46.006 +0100,2025-01-21 17:54:46.006 +0100
3277,2000058,COMERCIALIZER,2025-01-21 17:54:46.242 +0100,2025-01-21 17:54:46.242 +0100
13544,2000189,COMERCIALIZER,2025-01-21 17:54:46.444 +0100,2025-01-21 17:54:46.444 +0100
13547,2000189,COMERCIALIZER,2025-01-21 17:54:46.596 +0100,2025-01-21 17:54:46.596 +0100
3284,2000000,COMERCIALIZER,2025-01-21 17:54:46.774 +0100,2025-01-21 17:54:46.774 +0100
3286,2000000,COMERCIALIZER,2025-01-21 17:54:46.935 +0100,2025-01-21 17:54:46.935 +0100
3288,2000058,COMERCIALIZER,2025-01-21 17:54:47.096 +0100,2025-01-21 17:54:47.096 +0100
3290,2000058,COMERCIALIZER,2025-01-21 17:54:47.270 +0100,2025-01-21 17:54:47.270 +0100
3295,2000038,COMERCIALIZER,2025-01-21 17:54:47.471 +0100,2025-01-21 17:54:47.471 +0100
3297,2000104,COMERCIALIZER,2025-01-21 17:54:47.669 +0100,2025-01-21 17:54:47.669 +0100
3299,2000070,COMERCIALIZER,2025-01-21 17:54:47.831 +0100,2025-01-21 17:54:47.831 +0100
5338,919,COMERCIALIZER,2023-12-04 15:46:50.028 +0100,2023-12-04 15:46:50.028 +0100
5333,919,COMERCIALIZER,2023-12-04 15:46:50.299 +0100,2023-12-04 15:46:50.299 +0100
11767,2000274,MANUFACTURER,2024-05-29 15:03:18.326 +0200,2024-05-29 15:03:18.326 +0200
13509,2000174,COMERCIALIZER,2024-11-29 12:51:21.615 +0100,2024-11-29 12:51:21.615 +0100
2918,2000099,COMERCIALIZER,2025-01-21 17:54:07.379 +0100,2025-01-21 17:54:07.379 +0100
11542,2000274,COMERCIALIZER,2024-05-29 15:03:18.599 +0200,2024-05-29 15:03:18.599 +0200
11854,2000274,MANUFACTURER,2024-05-29 15:03:18.695 +0200,2024-05-29 15:03:18.695 +0200
6290,8008,COMERCIALIZER,2023-12-04 15:44:50.908 +0100,2023-12-04 15:44:50.908 +0100
6600,8008,COMERCIALIZER,2023-12-04 15:44:51.138 +0100,2023-12-04 15:44:51.138 +0100
11796,2000274,MANUFACTURER,2024-05-29 15:03:18.787 +0200,2024-05-29 15:03:18.787 +0200
11802,2000274,COMERCIALIZER,2024-05-29 15:03:18.954 +0200,2024-05-29 15:03:18.954 +0200
11701,2000274,MANUFACTURER,2024-05-29 15:03:19.062 +0200,2024-05-29 15:03:19.062 +0200
11543,2000274,MANUFACTURER,2024-05-29 15:03:19.154 +0200,2024-05-29 15:03:19.154 +0200
6346,992,COMERCIALIZER,2023-12-04 15:44:51.886 +0100,2023-12-04 15:44:51.886 +0100
7169,913,COMERCIALIZER,2023-12-04 15:44:52.042 +0100,2023-12-04 15:44:52.042 +0100
11541,2000274,MANUFACTURER,2024-05-29 15:03:19.260 +0200,2024-05-29 15:03:19.260 +0200
621,2000079,COMERCIALIZER,2025-01-21 17:48:17.060 +0100,2025-01-21 17:48:17.060 +0100
9674,948,COMERCIALIZER,2023-12-04 15:44:52.523 +0100,2023-12-04 15:44:52.523 +0100
6788,948,COMERCIALIZER,2023-12-04 15:44:52.699 +0100,2023-12-04 15:44:52.699 +0100
